naslov,izvajalec,kliki,tezavnost,akordi
Officially Missing You,Tamia,1143415,intermediate,"['G', 'F#m7', 'B', 'Em7', 'Dm', 'C', 'Bm', 'Am', 'C#m', 'F', 'G/B', 'D7sus4', 'Dm7', 'B7', 'D', 'Am7/E', 'Am7']"
Silent Night,Misc Christmas,3150841,beginner,"['G', 'D', 'D7', 'C', 'Em']"
Kiss Me,Ed Sheeran,841270,absolute beginner,"['G', 'Em', 'C', 'D']"
Killer Queen,Queen,1137234,advanced,"['Am', 'G7/B', 'C', 'Em', 'C7', 'F', 'Fm', 'C/G', 'F/G', 'G7', 'E7', 'G', 'B7', 'D7', 'Bm', 'F#7', 'D/F#', 'E7/G#', 'A', 'F#', 'D', 'G/D', 'C/D', 'E', 'Gm']"
Lead Me To The Cross,Hillsong United,1567449,beginner,"['Bm', 'A', 'G', 'D', 'Em']"
August,Taylor Swift,867106,absolute beginner,"['D', 'G', 'Em', 'A']"
Decode,Paramore,1008452,beginner,"['Am', 'F', 'Dm', 'Em', 'G', 'C', 'Fm']"
Perfect,Ed Sheeran,818727,intermediate,"['G', 'Em7', 'Cadd9', 'D', 'D/F#']"
Bruises,Lewis Capaldi,1346398,beginner,"['Am', 'F', 'C', 'G', 'Em', 'Dm']"
All Apologies Acoustic,Nirvana,866676,beginner,"['C', 'F', 'G']"
Sultans Of Swing,Dire Straits,2473328,intermediate,"['Dm', 'Dm/C', 'C', 'Bb', 'A', 'F', 'A7']"
Young Dumb And Broke,Khalid,1514360,beginner,"['F', 'Dm', 'C']"
Teenage Dirtbag,Wheatus,1465598,intermediate,"['E', 'B', 'A', 'C#m', 'G#m', 'Asus2', 'F#m']"
We Cant Stop,Miley Cyrus,1843619,beginner,"['C', 'Em', 'Am', 'F']"
She Will Be Loved,Maroon 5,949761,beginner,"['Am', 'G', 'C', 'F', 'Fmaj7']"
Three Little Birds,Bob Marley,4267965,absolute beginner,"['A', 'D', 'E']"
Dance Monkey,Tones And I,2255092,intermediate,"['F#m', 'D', 'E', 'C#m']"
